dataset,cascade_id,label,y_false,final_size,final_depth,reach_target,window_type,window_value,early_n_nodes,early_depth,avg_root_distance,early_width,branching_factor,internal_node_share,leaf_fraction,outdegree_entropy,structural_virality_proxy,early_growth_rate,time_to_10,time_to_20
twitter15,265953285247209472,false,1,212,2,5.3612921657094255,time,30,129,2,1.0155038759689923,125,42.666666666666664,0.023255813953488372,0.9767441860465116,0.19620965572566135,2.0300387596899223,4.3,2.1,3.75
twitter15,265953285247209472,false,1,212,2,5.3612921657094255,time,60,155,2,1.032258064516129,148,30.8,0.03225806451612903,0.967741935483871,0.2498167209094272,2.063007959782153,2.5833333333333335,2.1,3.75
twitter15,265953285247209472,false,1,212,2,5.3612921657094255,time,180,183,2,1.0327868852459017,175,30.333333333333332,0.03278688524590164,0.9672131147540983,0.249217967438739,2.0643727856842613,1.0166666666666666,2.1,3.75
twitter15,273182568298450945,false,1,354,2,5.872117789475416,time,30,195,2,1.005128205128205,192,64.66666666666667,0.015384615384615385,0.9846153846153847,0.12880313355236966,2.0100449378799894,6.5,0.83,1.52
twitter15,273182568298450945,false,1,354,2,5.872117789475416,time,60,232,2,1.0172413793103448,226,38.5,0.02586206896551724,0.9741379310344828,0.19000648659192887,2.0341095685923274,3.8666666666666667,0.83,1.52
twitter15,273182568298450945,false,1,354,2,5.872117789475416,time,180,299,2,1.0267558528428093,289,33.111111111111114,0.030100334448160536,0.9698996655518395,0.22458655527257246,1.0,1.6611111111111112,0.83,1.52
twitter15,273278761909239808,false,1,386,2,5.958424693029782,time,30,211,2,1.009478672985782,207,52.5,0.018957345971563982,0.981042654028436,0.15092531333029507,2.018686526743399,7.033333333333333,0.7,1.52
twitter15,273278761909239808,false,1,386,2,5.958424693029782,time,60,250,2,1.008,246,62.25,0.016,0.984,0.13133046139962115,2.0158072289156626,4.166666666666667,0.7,1.52
twitter15,273278761909239808,false,1,386,2,5.958424693029782,time,180,315,2,1.0095238095238095,310,62.8,0.015873015873015872,0.9841269841269841,0.12905384176818796,1.0,1.75,0.7,1.52
twitter15,295152287901417472,true,0,103,2,4.6443908991413725,time,30,43,2,1.0232558139534884,40,14.0,0.06976744186046512,0.9302325581395349,0.4291223408533888,2.0420819490586934,1.4333333333333333,0.88,1.38
twitter15,295152287901417472,true,0,103,2,4.6443908991413725,time,60,49,2,1.0204081632653061,46,16.0,0.061224489795918366,0.9387755102040817,0.3885088241433185,2.0374149659863945,0.8166666666666667,0.88,1.38
twitter15,295152287901417472,true,0,103,2,4.6443908991413725,time,180,59,2,1.0169491525423728,56,19.333333333333332,0.05084745762711865,0.9491525423728814,0.3366790555444543,2.0315604909409704,0.3277777777777778,0.88,1.38
twitter15,295944137948151809,false,1,1991,5,7.596894438144544,time,30,189,3,1.2116402116402116,154,7.833333333333333,0.12698412698412698,0.873015873015873,0.6937038628137301,2.4077451311493863,6.3,1.9,1.9
twitter15,295944137948151809,false,1,1991,5,7.596894438144544,time,60,242,4,1.2355371900826446,193,7.088235294117647,0.14049586776859505,0.859504132231405,0.7358161331797181,2.4583862007475736,4.033333333333333,1.9,1.9
twitter15,295944137948151809,false,1,1991,5,7.596894438144544,time,180,296,4,1.2736486486486487,228,6.413043478260869,0.1554054054054054,0.8445945945945946,0.7966295626093791,2.233800805090248,1.6444444444444444,1.9,1.9
twitter15,318263294098030593,false,1,1330,8,7.193685818395112,time,30,202,3,1.0643564356435644,189,16.75,0.0594059405940594,0.9405940594059405,0.37359838110944965,2.1267425249987686,6.733333333333333,2.3,2.3
twitter15,318263294098030593,false,1,1330,8,7.193685818395112,time,60,261,3,1.0766283524904214,242,15.294117647058824,0.06513409961685823,0.9348659003831418,0.40184132502141434,2.099968921578784,4.35,2.3,2.3
twitter15,318263294098030593,false,1,1330,8,7.193685818395112,time,180,389,4,1.1285347043701799,347,10.777777777777779,0.09254498714652956,0.9074550128534704,0.5243697341044896,2.093876632147681,2.161111111111111,2.3,2.3
twitter15,319166636902998016,false,1,303,3,5.717027701406222,time,30,40,2,1.1,34,6.5,0.15,0.85,0.7073436679636536,2.187179487179487,1.3333333333333333,3.71,4.12
twitter15,319166636902998016,false,1,303,3,5.717027701406222,time,60,48,2,1.1041666666666667,41,6.714285714285714,0.14583333333333334,0.8541666666666666,0.6855998508530652,2.1976950354609928,0.8,3.71,4.12
twitter15,319166636902998016,false,1,303,3,5.717027701406222,time,180,57,2,1.105263157894737,49,7.0,0.14035087719298245,0.8596491228070176,0.6614467366902077,2.2017543859649122,0.31666666666666665,3.71,4.12
twitter15,326137285450018817,false,1,723,4,6.584791392385716,time,30,89,2,1.0561797752808988,82,12.571428571428571,0.07865168539325842,0.9213483146067416,0.443946471606737,2.1092951991828395,2.966666666666667,1.03,5.35
twitter15,326137285450018817,false,1,723,4,6.584791392385716,time,60,99,2,1.0606060606060606,91,12.25,0.08080808080808081,0.9191919191919192,0.44894453207471474,2.1183261183261184,1.65,1.03,5.35
twitter15,326137285450018817,false,1,723,4,6.584791392385716,time,180,111,2,1.072072072072072,101,11.0,0.09009009009009009,0.9099099099099099,0.4790223098554025,2.1411957411957414,0.6166666666666667,1.03,5.35
twitter15,334722003057647616,false,1,624,3,6.437751649736401,time,30,240,2,1.0125,235,59.75,0.016666666666666666,0.9833333333333333,0.1472915970693747,2.0246513249651326,8.0,0.97,1.5
twitter15,334722003057647616,false,1,624,3,6.437751649736401,time,60,311,2,1.0128617363344052,305,62.0,0.01607717041800643,0.9839228295819936,0.14084933165434874,2.0196984924623114,5.183333333333334,0.97,1.5
twitter15,334722003057647616,false,1,624,3,6.437751649736401,time,180,447,2,1.0201342281879195,436,44.6,0.02237136465324385,0.9776286353467561,0.17518046598922046,2.0099450947891846,2.4833333333333334,0.97,1.5
twitter15,336873759271157760,true,0,647,2,6.473890696352274,time,30,114,2,1.0175438596491229,110,28.25,0.03508771929824561,0.9649122807017544,0.2477632072360046,2.0341561869274956,3.8,0.78,3.19
twitter15,336873759271157760,true,0,647,2,6.473890696352274,time,60,156,2,1.0192307692307692,151,31.0,0.03205128205128205,0.967948717948718,0.22771558015656299,2.0377998345740282,2.6,0.78,3.19
twitter15,336873759271157760,true,0,647,2,6.473890696352274,time,180,224,2,1.0535714285714286,210,22.3,0.044642857142857144,0.9553571428571429,0.3237592990922082,2.10554131966688,1.2444444444444445,0.78,3.19
twitter15,336913656921083904,true,0,244,3,5.501258210544727,time,30,127,1,0.9921259842519685,126,126.0,0.007874015748031496,0.9921259842519685,0.06634397526831169,1.984251968503937,4.233333333333333,1.09,1.52
twitter15,336913656921083904,true,0,244,3,5.501258210544727,time,60,163,1,0.9938650306748467,162,162.0,0.006134969325153374,0.9938650306748467,0.053907905965376854,1.9877300613496933,2.716666666666667,1.09,1.52
twitter15,336913656921083904,true,0,244,3,5.501258210544727,time,180,201,3,1.0149253731343284,197,50.0,0.01990049751243781,0.9800995024875622,0.15702633826813464,2.0293532338308458,1.1166666666666667,1.09,1.52
twitter15,348203818741272576,true,0,178,3,5.187385805840755,time,30,14,1,0.9285714285714286,13,13.0,0.07142857142857142,0.9285714285714286,0.37123232664087563,1.8571428571428572,0.4666666666666667,27.72,
twitter15,348203818741272576,true,0,178,3,5.187385805840755,time,60,22,1,0.9545454545454546,21,21.0,0.045454545454545456,0.9545454545454546,0.26676498780302604,1.9090909090909092,0.36666666666666664,27.72,47.72
twitter15,348203818741272576,true,0,178,3,5.187385805840755,time,180,88,2,1.3863636363636365,52,29.0,0.03409090909090909,0.9659090909090909,0.26854264623156254,2.461337513061651,0.4888888888888889,27.72,47.72
twitter15,348204426659508226,true,0,178,3,5.187385805840755,time,30,21,1,0.9523809523809523,20,20.0,0.047619047619047616,0.9523809523809523,0.2761954276479391,1.9047619047619047,0.7,3.63,24.42
twitter15,348204426659508226,true,0,178,3,5.187385805840755,time,60,51,2,1.1176470588235294,43,12.5,0.0784313725490196,0.9215686274509803,0.5142748316019082,2.2149019607843137,0.85,3.63,24.42
twitter15,348204426659508226,true,0,178,3,5.187385805840755,time,180,84,2,1.1428571428571428,70,13.833333333333334,0.07142857142857142,0.9285714285714286,0.5320629814542915,2.2685025817555937,0.4666666666666667,3.63,24.42
twitter15,348209998565879810,false,1,128,2,4.859812404361672,time,30,76,2,1.0,74,37.5,0.02631578947368421,0.9736842105263158,0.20188081533118699,1.9992982456140351,2.533333333333333,3.18,3.18
twitter15,348209998565879810,false,1,128,2,4.859812404361672,time,60,83,2,1.0,81,41.0,0.024096385542168676,0.9759036144578314,0.18795689841132707,1.9994122832794592,1.3833333333333333,3.18,3.18
twitter15,348209998565879810,false,1,128,2,4.859812404361672,time,180,112,2,1.0089285714285714,109,37.0,0.026785714285714284,0.9732142857142857,0.20260410598005973,2.017213642213642,0.6222222222222222,3.18,3.18
twitter15,351767344097398785,false,1,121,3,4.804021044733257,time,30,51,1,0.9803921568627451,50,50.0,0.0196078431372549,0.9803921568627451,0.13923299905509887,1.9607843137254901,1.7,2.22,3.82
twitter15,351767344097398785,false,1,121,3,4.804021044733257,time,60,63,2,1.0,61,31.0,0.031746031746031744,0.9682539682539683,0.23481996173267738,1.9989759344598055,1.05,2.22,3.82
twitter15,351767344097398785,false,1,121,3,4.804021044733257,time,180,76,3,1.0263157894736843,73,25.0,0.039473684210526314,0.9605263157894737,0.27612234504567423,2.0498245614035087,0.4222222222222222,2.22,3.82
twitter15,352075672543428608,false,1,259,2,5.560681631015528,time,30,117,2,1.0598290598290598,108,29.0,0.03418803418803419,0.9658119658119658,0.2662602516097617,2.1149425287356323,3.9,1.85,2.47
twitter15,352075672543428608,false,1,259,2,5.560681631015528,time,60,162,2,1.0617283950617284,150,40.25,0.024691358024691357,0.9753086419753086,0.2040638410822651,2.118242466068553,2.7,1.85,2.47
twitter15,352075672543428608,false,1,259,2,5.560681631015528,time,180,211,2,1.061611374407583,196,52.75,0.018957345971563982,0.981042654028436,0.17346032518888974,2.117896637327917,1.1722222222222223,1.85,2.47
twitter15,356268980211687424,false,1,122,4,4.812184355372417,time,30,38,3,1.6842105263157894,17,4.111111111111111,0.23684210526315788,0.7631578947368421,1.3101291881577155,3.1009957325746798,1.2666666666666666,9.99,15.57
twitter15,356268980211687424,false,1,122,4,4.812184355372417,time,60,71,3,1.619718309859155,36,4.117647058823529,0.23943661971830985,0.7605633802816901,1.3043238794248604,3.1251509054325957,1.1833333333333333,9.99,15.57
