cascade_id,dataset,label,final_size,parse_ok
265953285247209472,twitter15,false,212,True
273182568298450945,twitter15,false,354,True
273278761909239808,twitter15,false,386,True
295152287901417472,twitter15,true,103,True
295944137948151809,twitter15,false,1991,True
318263294098030593,twitter15,false,1330,True
319166636902998016,twitter15,false,303,True
326137285450018817,twitter15,false,723,True
334722003057647616,twitter15,false,624,True
336873759271157760,twitter15,true,647,True
336913656921083904,twitter15,true,244,True
348203818741272576,twitter15,true,178,True
348204426659508226,twitter15,true,178,True
348209998565879810,twitter15,false,128,True
351767344097398785,twitter15,false,121,True
352075672543428608,twitter15,false,259,True
356268980211687424,twitter15,false,122,True
356297080169447425,twitter15,false,219,True
356310469390245888,twitter15,false,131,True
356407105953071107,twitter15,false,160,True
356437941641416705,twitter15,false,110,True
357299879070023680,twitter15,false,135,True
357300409292959744,twitter15,false,138,True
358591089462099968,twitter15,false,174,True
364383457545162754,twitter15,false,311,True
364589696573124609,twitter15,false,370,True
365052155385749505,twitter15,false,140,True
365056836476481537,twitter15,false,117,True
365276206381268995,twitter15,false,395,True
365497016098369536,twitter15,false,136,True
366025766183514112,twitter15,false,452,True
366205297557110784,twitter15,false,163,True
369506008172740608,twitter15,false,218,True
370855596050108416,twitter15,false,161,True
372489152903643136,twitter15,false,226,True
372901260183494656,twitter15,false,222,True
372914976102834176,twitter15,false,220,True
376874273601630208,twitter15,false,2406,True
376982539132366848,twitter15,false,1527,True
377002232257855488,twitter15,false,335,True
377519445578895360,twitter15,false,146,True
380055172896272384,twitter15,false,380,True
380140114552188928,twitter15,false,200,True
386682163862986752,twitter15,false,122,True
386998038004113409,twitter15,false,241,True
387006553124896768,twitter15,false,134,True
387006700609228801,twitter15,false,164,True
387007120689737729,twitter15,false,255,True
387009577763360768,twitter15,false,476,True
387010299536355328,twitter15,false,129,True
387021726007042051,twitter15,false,134,True
387030572779847680,twitter15,false,177,True
387031585834278912,twitter15,false,113,True
387041762331471872,twitter15,false,124,True
387050178932654080,twitter15,false,123,True
387220814531395584,twitter15,false,273,True
387233034350514176,twitter15,false,112,True
387236601450864641,twitter15,false,166,True
387237225286479872,twitter15,false,298,True
387281927427727360,twitter15,false,411,True
387309869080281088,twitter15,false,144,True
387353560356118528,twitter15,false,180,True
407156621450571777,twitter15,true,95,True
407158558158254081,twitter15,true,561,True
407159686786732032,twitter15,true,90,True
407161635439013888,twitter15,true,104,True
407162181059612672,twitter15,true,108,True
407163499723624449,twitter15,true,227,True
407163869673443328,twitter15,true,346,True
407164247768977409,twitter15,true,195,True
407164597511393280,twitter15,true,1504,True
407167258452971520,twitter15,true,152,True
407167928313081856,twitter15,true,330,True
407169212428206080,twitter15,true,237,True
407169699559247872,twitter15,true,186,True
407169885345943552,twitter15,true,148,True
407170170533064705,twitter15,true,103,True
407170443443859456,twitter15,true,295,True
407173794583695360,twitter15,true,106,True
407174474207731712,twitter15,true,92,True
407176055657484289,twitter15,true,139,True
407176873605865472,twitter15,true,393,True
407177474788057088,twitter15,true,2538,True
407179055763836928,twitter15,true,130,True
407181813174788096,twitter15,true,149,True
407182194206322689,twitter15,true,103,True
407182466613792768,twitter15,true,229,True
407184707118309376,twitter15,true,444,True
407184730988097536,twitter15,true,379,True
407185422523977728,twitter15,true,88,True
407187197427593217,twitter15,true,213,True
407188779255222273,twitter15,true,139,True
407189015582887936,twitter15,true,548,True
407191058108256257,twitter15,true,98,True
407191144880439298,twitter15,true,108,True
407192027714322432,twitter15,true,250,True
407192126032986112,twitter15,true,160,True
407192370040803329,twitter15,true,273,True
407193347279699968,twitter15,true,330,True
407197113286545409,twitter15,true,392,True
407197672702214144,twitter15,true,118,True
407198255793987584,twitter15,true,843,True
407198615137181696,twitter15,true,1825,True
407205009676587009,twitter15,true,113,True
407205235682050048,twitter15,true,179,True
407205404075376640,twitter15,true,104,True
407206094747209728,twitter15,true,231,True
407209131351629824,twitter15,true,214,True
407209222850756608,twitter15,true,199,True
407209892013821952,twitter15,true,99,True
407211258304552960,twitter15,true,91,True
407212665350942720,twitter15,true,126,True
407213757048160256,twitter15,true,172,True
407213772328022016,twitter15,true,318,True
407217471473451008,twitter15,true,105,True
407217865973329920,twitter15,true,520,True
407218583135997953,twitter15,true,105,True
407223928084766721,twitter15,true,265,True
407229989902225408,twitter15,true,220,True
407231591191035904,twitter15,true,158,True
407231740764508161,twitter15,true,156,True
407232661107642368,twitter15,true,434,True
407233172380733441,twitter15,true,231,True
407234399093022720,twitter15,true,773,True
407236151167025152,twitter15,true,820,True
407237676350185475,twitter15,true,109,True
407244865018155008,twitter15,true,120,True
407248574099894272,twitter15,true,979,True
407253198395555840,twitter15,true,265,True
407253554039386112,twitter15,true,244,True
407254590363426816,twitter15,true,573,True
407258075502899200,twitter15,true,207,True
407262869152358400,twitter15,true,119,True
407262953533353984,twitter15,true,116,True
407264593027670016,twitter15,true,107,True
407267881131732992,twitter15,true,99,True
407269894938718208,twitter15,true,106,True
407275991610818560,twitter15,true,169,True
407279190913069056,twitter15,true,141,True
407290084593913856,twitter15,true,397,True
407290871856369664,twitter15,true,396,True
407292452060815360,twitter15,true,156,True
427652211414274048,twitter15,true,113,True
427662266993889280,twitter15,true,142,True
427666815842414592,twitter15,true,351,True
427689948398231552,twitter15,true,340,True
427690961280696320,twitter15,true,289,True
427725166127226881,twitter15,true,157,True
427762638274437120,twitter15,true,253,True
427780584979836929,twitter15,true,120,True
427831952826449920,twitter15,true,126,True
427846006600777729,twitter15,true,157,True
427924694663454720,twitter15,true,123,True
427944719612915712,twitter15,true,173,True
428366153149194240,twitter15,false,536,True
435998882250899456,twitter15,false,398,True
436001434212249600,twitter15,false,121,True
436074888638763008,twitter15,false,303,True
436089462326849536,twitter15,false,479,True
436146437530075136,twitter15,true,486,True
436157173161144321,twitter15,false,331,True
436157398269849602,twitter15,true,563,True
436160836524965891,twitter15,true,306,True
436195672677953536,twitter15,false,125,True
436215971272212480,twitter15,false,150,True
445495350171013120,twitter15,true,110,True
450341615979069440,twitter15,false,201,True
455525437351800832,twitter15,false,126,True
470025166760980483,twitter15,false,144,True
482880640560271361,twitter15,false,224,True
489794369487380480,twitter15,false,1388,True
489794593580650497,twitter15,false,1686,True
489794696013967360,twitter15,false,269,True
489796088338341888,twitter15,false,117,True
489796998615547904,twitter15,false,386,True
489798219283857408,twitter15,false,343,True
489798752358916096,twitter15,false,118,True
489798752438583297,twitter15,false,265,True
489800427152879616,twitter15,false,536,True
489802446001434625,twitter15,false,136,True
489812926828924928,twitter15,false,2541,True
489816746405007360,twitter15,false,151,True
489818014364086273,twitter15,false,204,True
489820657291911168,twitter15,false,213,True
489829414704648192,twitter15,false,391,True
489833932813516800,twitter15,false,1081,True
489836271049928704,twitter15,false,191,True
489836441120145408,twitter15,false,152,True
489841070818488320,twitter15,false,241,True
489854703321509888,twitter15,false,226,True
489865454312099840,twitter15,false,124,True
489867900296368129,twitter15,false,463,True
